Nutrient1,Nutrient2,Value
"Tocopherol, gamma (mg)","Vitamin C, total ascorbic acid (mg)",0.04764992851071217
Tryptophan (g),Campesterol (mg),0.04761416673533629
Alanine (g),"Sodium, Na (mg)",0.047589263964819654
Sucrose (g),"Tocopherol, beta (mg)",0.04757695741005375
Sucrose (g),Tyrosine (g),0.04757217669117777
"Copper, Cu (mg)","Carotene, alpha (g)",0.04751399420960557
"Fatty acids, total saturated 14:1 (g)","Copper, Cu (mg)",0.04750899892194906
"Iron, Fe (mg)","Fatty acids, total trans-polyenoic 20:3 n-6 (g)",0.04750405385607336
Stigmasterol (mg),"Fatty acids, total monounsaturated (g)",0.047471983094111894
Betaine (mg),"Fatty acids, total saturated 6:0 (g)",0.04744701823166341
"Fatty acids, total polyunsaturated 18:2 n-6 c,c (g)","Vitamin A, IU (IU)",0.04740510750081758
"Fatty acids, total trans-polyenoic 22:4 (g)",Thiamin (mg),0.04737702322017718
"Fatty acids, total trans-polyenoic 22:4 (g)","Iron, Fe (mg)",0.047356141511058096
"Fatty acids, total polyunsaturated 16:1 t (g)",Lutein + zeaxanthin (g),0.04730839504961568
Tyrosine (g),Campesterol (mg),0.04727422926917447
Vitamin D (IU),"Tocotrienol, delta (mg)",0.047272449347191006
"Fatty acids, total polyunsaturated 18:2 i (g)","Sugars, total (g)",0.047250905753970195
"Folate, food (g)","Tocotrienol, alpha (mg)",0.0472325322753043
"Carotene, alpha (g)",Protein (g),0.04718625822272512
Folic acid (g),Aspartic acid (g),0.04713818473490139
"Folate, total (g)","Fatty acids, total saturated 22:0 (g)",0.04712950191364788
"Fluoride, F (g)",Vitamin K (phylloquinone) (g),0.047123237090560634
Phytosterols (mg),Niacin (mg),0.04709211235645963
"Fatty acids, total saturated 6:0 (g)","Tocopherol, beta (mg)",0.04706680899127896
Vitamin D (IU),"Fluoride, F (g)",0.04705120953916567
Starch (g),"Fatty acids, total trans-polyenoic (g)",0.047032850825080456
Starch (g),"Fatty acids, total saturated 16:0 (g)",0.04691350674096476
Vitamin K (phylloquinone) (g),"Fatty acids, total saturated 4:0 (g)",0.04691147863421602
"Fatty acids, total polyunsaturated 18:2 CLAs (g)","Vitamin A, RAE (g)",0.046892661480614176
"Fatty acids, total polyunsaturated 20:2 n-6 c,c (g)","Tocotrienol, beta (mg)",0.046890660766667425
"Sodium, Na (mg)",Arginine (g),0.04685385378687302
"Tocotrienol, beta (mg)","Fatty acids, total saturated 18:2 undifferentiated (g)",0.046746487557067486
"Fatty acids, total saturated 20:1 (g)","Tocotrienol, alpha (mg)",0.04672916239649896
Phytosterols (mg),Lysine (g),0.046690071826386
Ash (g),"Fatty acids, total saturated 12:0 (g)",0.04665187429292662
Tryptophan (g),"Sodium, Na (mg)",0.046609350524423436
"Fatty acids, total saturated 8:0 (g)","Fatty acids, total trans (g)",0.0465716926738953
"Sodium, Na (mg)",Phenylalanine (g),0.046565763289603955
"Tocotrienol, alpha (mg)","Fatty acids, total polyunsaturated 24:1 c (g)",0.04654036456429134
"Fatty acids, total saturated 4:0 (g)","Fatty acids, total polyunsaturated 20:3 undifferentiated (g)",0.04653704723038173
"Fatty acids, total trans-polyenoic 20:3 n-6 (g)","Vitamin A, RAE (g)",0.046536950756239995
Ash (g),"Fatty acids, total polyunsaturated 18:1 c (g)",0.046536381365068574
"Fatty acids, total saturated 16:0 (g)",Lycopene (g),0.04653426734193369
"Fatty acids, total trans-polyenoic (g)","Carbohydrate, by difference (g)",0.046527769514585204
"Carotene, alpha (g)",Niacin (mg),0.046485207705343055
Retinol (g),"Fatty acids, total trans-polyenoic 20:3 n-6 (g)",0.0464772619391589
"Sodium, Na (mg)",Aspartic acid (g),0.046317280699189854
Vitamin E (alpha-tocopherol) (mg),"Fatty acids, total polyunsaturated 24:1 c (g)",0.0463149015527832
"Sugars, total (g)",Vitamin D (D2 + D3) (g),0.046308709458433996
Lutein + zeaxanthin (g),Ash (g),0.04630312410437181
Vitamin K (phylloquinone) (g),"Fatty acids, total saturated 18:0 (g)",0.046259652762048784
"Sodium, Na (mg)",Isoleucine (g),0.046241026443733506
"Fatty acids, total polyunsaturated 24:0 (g)","Fatty acids, total trans-polyenoic 18:3i (g)",0.04621706164294515
Serine (g),"Cryptoxanthin, beta (g)",0.04620391131572664
"Fatty acids, total trans-polyenoic 18:3 n-3 c,c,c (ALA) (g)","Fatty acids, total saturated 6:0 (g)",0.04618031143901861
"Fluoride, F (g)","Carbohydrate, by difference (g)",0.04616002744168957
"Vitamin A, IU (IU)","Fatty acids, total saturated 10:0 (g)",0.04615886329707999
"Fatty acids, total trans-polyenoic 13:0 (g)","Fatty acids, total polyunsaturated 18:3 n-6 c,c,c (g)",0.046118816026183215
"Fatty acids, total polyunsaturated 16:1 c (g)",Vitamin B-12 (g),0.046091299114542295
"Folate, food (g)","Fatty acids, total saturated 22:0 (g)",0.04605305537049337
Maltose (g),Vitamin B-6 (mg),0.045978945233341964
Campesterol (mg),Folic acid (g),0.045957509069424606
"Vitamin A, RAE (g)","Fatty acids, total saturated 14:1 (g)",0.04588076798283931
"Fatty acids, total polyunsaturated 24:0 (g)",Lactose (g),0.04581365949400235
Starch (g),"Fatty acids, total polyunsaturated 18:2 t not further defined (g)",0.045774465983132256
"Tocotrienol, alpha (mg)",Retinol (g),0.04576756202518565
"Cryptoxanthin, beta (g)","Copper, Cu (mg)",0.04568935038137442
"Cryptoxanthin, beta (g)",Aspartic acid (g),0.04563211352861129
"Fatty acids, total polyunsaturated 15:0 (g)","Vitamin A, IU (IU)",0.045602596084999274
Lycopene (g),"Fatty acids, total saturated 18:0 (g)",0.04559482271202652
"Carbohydrate, by difference (g)",Lycopene (g),0.045561078184074795
Sucrose (g),Tryptophan (g),0.04555903510341609
"Fatty acids, total saturated 10:0 (g)",Betaine (mg),0.045543766025077204
"Carbohydrate, by difference (g)","Cryptoxanthin, beta (g)",0.045541197136211325
Phytosterols (mg),"Choline, total (mg)",0.045533374884752335
Thiamin (mg),"Fatty acids, total trans-polyenoic 20:3 n-6 (g)",0.045492914036409746
Vitamin E (alpha-tocopherol) (mg),"Fatty acids, total saturated 8:0 (g)",0.04547826456182142
"Tocotrienol, alpha (mg)","Fatty acids, total saturated 10:0 (g)",0.045449084791404776
"Fatty acids, total saturated 12:0 (g)","Vitamin C, total ascorbic acid (mg)",0.04543325343313991
Beta-sitosterol (mg),Retinol (g),0.04540591238023115
"Zinc, Zn (mg)",Folic acid (g),0.045389761555566926
"Tocotrienol, gamma (mg)",Stigmasterol (mg),0.045380400730068465
Energy (kJ),Galactose (g),0.0453497204842551
Galactose (g),Energy (kcal),0.04534815288239443
"Fatty acids, total trans-polyenoic 20:4 n-6 (g)",Vitamin B-6 (mg),0.04534272061777843
"Fatty acids, total saturated 22:0 (g)","Folate, DFE (g)",0.04532661231483302
Arginine (g),"Carotene, alpha (g)",0.04530335309253915
"Vitamin A, RAE (g)","Fatty acids, total polyunsaturated 18:1 c (g)",0.04529434320518666
Protein (g),Stigmasterol (mg),0.045245542435779926
"Fatty acids, total polyunsaturated 17:0 (g)","Tocopherol, gamma (mg)",0.0452364133939593
Maltose (g),"Calcium, Ca (mg)",0.04522292468919233
"Fiber, total dietary (g)",Vitamin D (D2 + D3) (g),0.04514356474692796
Water (g),"Fatty acids, total saturated 22:5 n-3 (DPA) (g)",0.04513567428975875
Caffeine (mg),"Carbohydrate, by difference (g)",0.045070108289263285
"Fatty acids, total saturated 22:0 (g)",Stigmasterol (mg),0.045051523689509126
"Zinc, Zn (mg)",Stigmasterol (mg),0.0450501198812994
"Fatty acids, total polyunsaturated 22:1 c (g)",Vitamin B-6 (mg),0.045005318806386745
"Sodium, Na (mg)",Cystine (g),0.04498912200587431
"Fatty acids, total saturated 10:0 (g)","Fatty acids, total polyunsaturated 17:0 (g)",0.04494656930486182
Lutein + zeaxanthin (g),"Fatty acids, total saturated 4:0 (g)",0.044921259764841605
"Fatty acids, total saturated 6:0 (g)","Carotene, beta (g)",0.04491233121590916
Folic acid (g),"Fatty acids, total saturated 20:1 (g)",0.04485034351184336
"Fatty acids, total polyunsaturated 18:2 t not further defined (g)",Retinol (g),0.044744038014562344
Glucose (dextrose) (g),"Fatty acids, total saturated 6:0 (g)",0.04473399835408254
Phenylalanine (g),Sucrose (g),0.04471150843618718
Vitamin B-12 (g),Starch (g),0.04470932408507797
Methionine (g),Beta-sitosterol (mg),0.044707476732128985
Retinol (g),"Fatty acids, total trans-polyenoic (g)",0.04468272419477773
"Fatty acids, total saturated 18:0 (g)",Fructose (g),0.04458392711777949
Lactose (g),Betaine (mg),0.04457732640807997
Glucose (dextrose) (g),"Tocopherol, delta (mg)",0.044565892896931726
Methionine (g),Phytosterols (mg),0.04450041570436831
"Fatty acids, total trans-polyenoic 20:4 n-6 (g)",Energy (kJ),0.04445675331809659
"Fatty acids, total trans-polyenoic 20:4 n-6 (g)",Energy (kcal),0.04444153335723288
"Fatty acids, total saturated (g)",Lycopene (g),0.044371495922293544
Retinol (g),"Fatty acids, total polyunsaturated 18:1 c (g)",0.04427759318538618
"Tocotrienol, beta (mg)","Fatty acids, total trans-polyenoic 22:4 (g)",0.04423208962646196
Fructose (g),"Fatty acids, total saturated 6:0 (g)",0.044229527763072846
Sucrose (g),"Tocopherol, gamma (mg)",0.04421039120113972
Thiamin (mg),Menaquinone-4 (g),0.04419335122857284
Proline (g),"Cryptoxanthin, beta (g)",0.04419037187640576
"Fatty acids, total saturated 10:0 (g)","Fatty acids, total trans-polyenoic 20:3 n-3 (g)",0.0441884555473319
Retinol (g),"Fatty acids, total saturated 14:1 (g)",0.04414197031736456
Vitamin K (phylloquinone) (g),"Fatty acids, total saturated 6:0 (g)",0.044061716326605306
"Vitamin A, IU (IU)","Fatty acids, total polyunsaturated 18:2 t not further defined (g)",0.044055797378620684
Niacin (mg),"Fatty acids, total polyunsaturated 24:1 c (g)",0.04404915045375682
"Vitamin A, IU (IU)","Fatty acids, total trans-polyenoic (g)",0.04401510643536808
Caffeine (mg),"Sugars, total (g)",0.043996392227435725
"Fatty acids, total saturated 16:0 (g)",Galactose (g),0.04398920720817504
"Carotene, alpha (g)",Lycopene (g),0.04398567680151427
"Fatty acids, total saturated 14:0 (g)","Fatty acids, total trans-polyenoic 15:1 (g)",0.043890373218118235
"Fatty acids, total polyunsaturated 24:1 c (g)",Vitamin B-12 (g),0.04388641699478259
"Fiber, total dietary (g)",Vitamin D (IU),0.04386489921514319
Stigmasterol (mg),Total lipid (fat) (g),0.04385800901396743
"Fatty acids, total polyunsaturated 24:0 (g)",Ash (g),0.04385661714043749
Isoleucine (g),Campesterol (mg),0.04379104578449938
"Fatty acids, total trans-polyenoic 20:3 n-6 (g)","Calcium, Ca (mg)",0.04377176651333472
Retinol (g),"Fatty acids, total polyunsaturated 18:2 CLAs (g)",0.043738295255245294
Lycopene (g),Total lipid (fat) (g),0.04373326992187096
"Fatty acids, total saturated 20:4 undifferentiated (g)","Fatty acids, total saturated 6:0 (g)",0.04370445106336685
Cholesterol (mg),"Carbohydrate, by difference (g)",0.04359540441432086
"Vitamin A, RAE (g)","Fatty acids, total trans-polyenoic 20:3 n-3 (g)",0.04357874203443316
Stigmasterol (mg),Lysine (g),0.043574835770130924
"Copper, Cu (mg)","Fatty acids, total trans-polyenoic 18:3 n-3 c,c,c (ALA) (g)",0.043533439172973344
"Tocotrienol, delta (mg)","Vitamin A, IU (IU)",0.0435294350526228
"Carbohydrate, by difference (g)","Fatty acids, total trans (g)",0.04350664353065431
"Tocopherol, delta (mg)","Fatty acids, total saturated 18:1 undifferentiated (g)",0.04345337616373664
"Vitamin A, RAE (g)",Ash (g),0.043449856848243984
"Fatty acids, total trans-polyenoic (g)",Hydroxyproline (g),0.04340387464772338
Menaquinone-4 (g),"Carbohydrate, by difference (g)",0.043348460533759604
"Carbohydrate, by difference (g)",Theobromine (mg),0.043277750475021214
Leucine (g),"Cryptoxanthin, beta (g)",0.04327433995037327
"Fatty acids, total polyunsaturated 17:1 (g)",Lutein + zeaxanthin (g),0.04323669426207043
"Fatty acids, total trans-polyenoic 20:4 n-6 (g)","Fatty acids, total saturated 18:0 (g)",0.043226370548308746
Lycopene (g),"Fatty acids, total polyunsaturated 18:2 t not further defined (g)",0.043203242559698256
"Fatty acids, total saturated 22:0 (g)","Fatty acids, total trans-polyenoic 18:1-11 t (18:1t n-7) (g)",0.04318367049654051
"Fatty acids, total polyunsaturated 20:2 n-6 c,c (g)","Fatty acids, total saturated 6:0 (g)",0.043134297152421515
Phenylalanine (g),"Cryptoxanthin, beta (g)",0.043132897989470814
"Fluoride, F (g)","Fatty acids, total saturated 20:4 undifferentiated (g)",0.04311079121415504
"Fatty acids, total polyunsaturated 16:1 t (g)","Vitamin A, IU (IU)",0.04308848806475441
Proline (g),"Carotene, alpha (g)",0.042981221735512345
"Carbohydrate, by difference (g)","Fatty acids, total polyunsaturated 18:2 t not further defined (g)",0.04297176742686163
Ash (g),Lycopene (g),0.042968884348877
Lycopene (g),"Fatty acids, total trans-polyenoic (g)",0.04296767680495181
"Fatty acids, total polyunsaturated 18:2 t not further defined (g)","Folate, total (g)",0.04295675336590168
"Cryptoxanthin, beta (g)",Thiamin (mg),0.04293317809222307
"Tocotrienol, beta (mg)","Zinc, Zn (mg)",0.04290421426578101
"Tocopherol, gamma (mg)",Menaquinone-4 (g),0.04289453584080651
"Folate, total (g)","Fatty acids, total trans-polyenoic (g)",0.04289397824358282
"Fatty acids, total trans-polyenoic 18:3 n-3 c,c,c (ALA) (g)","Vitamin A, RAE (g)",0.042891768964276204
"Fatty acids, total saturated 18:3 undifferentiated (g)",Campesterol (mg),0.04285906841120232
Niacin (mg),Beta-sitosterol (mg),0.04284122989601324
"Vitamin B-12, added (g)",Vitamin D3 (cholecalciferol) (g),0.042836438750048736
Phytosterols (mg),"Selenium, Se (g)",0.04273715147886069
Ash (g),"Fatty acids, total polyunsaturated 17:1 (g)",0.04270652631768879
Menaquinone-4 (g),"Fatty acids, total saturated 18:2 undifferentiated (g)",0.04264322035025558
"Vitamin A, IU (IU)","Fatty acids, total polyunsaturated 18:2 CLAs (g)",0.04258747946191841
Starch (g),"Vitamin A, IU (IU)",0.04258367828787299
Betaine (mg),"Manganese, Mn (mg)",0.04254584306974403
"Cryptoxanthin, beta (g)","Choline, total (mg)",0.042534374415652734
"Fatty acids, total polyunsaturated 24:0 (g)","Vitamin A, RAE (g)",0.04249572529684921
"Carbohydrate, by difference (g)",Vitamin B-12 (g),0.042473181363755705
"Cryptoxanthin, beta (g)",Histidine (g),0.0424730943513064
Riboflavin (mg),"Fatty acids, total trans-polyenoic 22:4 (g)",0.04247198510621225
Sucrose (g),"Vitamin C, total ascorbic acid (mg)",0.042452824481796755
"Fatty acids, total trans-polyenoic 18:1-11 t (18:1t n-7) (g)",Vitamin D (IU),0.04245253086556585
"Fatty acids, total saturated 18:1 undifferentiated (g)",Starch (g),0.0424440381349378
Lactose (g),"Fiber, total dietary (g)",0.04243103017743757
"Fatty acids, total saturated 20:4 undifferentiated (g)",Lutein + zeaxanthin (g),0.042418064961951024
"Fatty acids, total polyunsaturated 22:1 t (g)","Fatty acids, total polyunsaturated 18:2 n-6 c,c (g)",0.042398371755243
Campesterol (mg),Histidine (g),0.042393699325520555
Glucose (dextrose) (g),Beta-sitosterol (mg),0.0423845966006536
Sucrose (g),"Fatty acids, total saturated 4:0 (g)",0.04238059815022114
Glutamic acid (g),"Fatty acids, total saturated 22:6 n-3 (DHA) (g)",0.042378696256648564
"Tocotrienol, gamma (mg)","Fatty acids, total saturated 20:1 (g)",0.04236005685291864
"Fatty acids, total trans-polyenoic 18:3 n-3 c,c,c (ALA) (g)","Fatty acids, total trans-polyenoic 13:0 (g)",0.04234796099302301
"Folate, food (g)","Fatty acids, total polyunsaturated 18:2 t not further defined (g)",0.04234188471588013
"Zinc, Zn (mg)",Campesterol (mg),0.04227818941421828
Riboflavin (mg),"Fatty acids, total saturated 22:6 n-3 (DHA) (g)",0.042278087156009114
"Fatty acids, total trans-polyenoic 18:3i (g)","Magnesium, Mg (mg)",0.04227700124612004
"Sugars, total (g)","Fluoride, F (g)",0.04226930505391316
"Sugars, total (g)",Menaquinone-4 (g),0.042251271759909746
"Iron, Fe (mg)","Fatty acids, total saturated 22:5 n-3 (DPA) (g)",0.04223551086326534
Vitamin E (alpha-tocopherol) (mg),"Fatty acids, total saturated 12:0 (g)",0.04220458597495319
"Fatty acids, total saturated 18:0 (g)",Lutein + zeaxanthin (g),0.04218664979791254
Phytosterols (mg),"Fatty acids, total saturated 6:0 (g)",0.04216248977215347
"Sugars, total (g)",Theobromine (mg),0.04215256485665613
"Folate, food (g)","Fatty acids, total trans-polyenoic (g)",0.042123475856099504
Valine (g),"Carotene, alpha (g)",0.042100491215180336
"Fatty acids, total trans-polyenoic 20:3 n-6 (g)",Riboflavin (mg),0.04207404219374088
Pantothenic acid (mg),Campesterol (mg),0.04205213943737032
"Fatty acids, total trans-polyenoic 18:1-11 t (18:1t n-7) (g)","Fatty acids, total trans-polyenoic 20:3 n-3 (g)",0.0420520148803308
"Vitamin A, RAE (g)","Fatty acids, total trans-polyenoic 22:4 (g)",0.04204390672968595
"Folate, total (g)","Sodium, Na (mg)",0.0420272583290174
"Folate, DFE (g)","Sodium, Na (mg)",0.042026677278296676
Sucrose (g),Arginine (g),0.04200591137573254
"Fatty acids, total polyunsaturated 18:1 c (g)","Copper, Cu (mg)",0.04194434059741213
Vitamin D3 (cholecalciferol) (g),"Vitamin C, total ascorbic acid (mg)",0.04191319359103836
"Fatty acids, total saturated 14:1 (g)",Lutein + zeaxanthin (g),0.04188520266776134
"Tocotrienol, gamma (mg)","Calcium, Ca (mg)",0.041876548260943586
"Fatty acids, total saturated 22:5 n-3 (DPA) (g)","Magnesium, Mg (mg)",0.041871649663617935
"Fatty acids, total trans-polyenoic 22:4 (g)",Retinol (g),0.04180903771061262
"Fatty acids, total polyunsaturated (g)","Tocotrienol, beta (mg)",0.041807524992604414
Methionine (g),"Fatty acids, total saturated 22:6 n-3 (DHA) (g)",0.04180533504821932
"Fatty acids, total saturated 22:6 n-3 (DHA) (g)",Tryptophan (g),0.04170512210365085
Cystine (g),"Fatty acids, total saturated 22:6 n-3 (DHA) (g)",0.04170054075392649
"Carotene, alpha (g)",Phytosterols (mg),0.04169240010821333
Riboflavin (mg),"Fatty acids, total saturated 12:0 (g)",0.04167476169253631
"Fatty acids, total polyunsaturated 18:2 n-6 c,c (g)","Carbohydrate, by difference (g)",0.041664963833862846
"Fatty acids, total polyunsaturated 18:2 CLAs (g)","Fatty acids, total trans-polyenoic 18:3i (g)",0.041652563790118245
"Fatty acids, total saturated 18:1 undifferentiated (g)",Galactose (g),0.041645686783329666
Starch (g),Ash (g),0.041627559993480875
"Folate, DFE (g)","Fatty acids, total trans-polyenoic (g)",0.04162732717967572
"Fatty acids, total saturated 22:0 (g)","Fatty acids, total polyunsaturated 22:1 t (g)",0.04162423834257826
"Folate, DFE (g)","Fatty acids, total polyunsaturated 18:2 t not further defined (g)",0.041573302340837524
Campesterol (mg),Glycine (g),0.04154265008193892
"Fatty acids, total trans-polyenoic 18:3 n-3 c,c,c (ALA) (g)",Retinol (g),0.04148034941583121
Total lipid (fat) (g),Galactose (g),0.04146768831750675
"Fatty acids, total saturated 14:0 (g)","Vitamin A, RAE (g)",0.04145630488116545
"Fatty acids, total trans-polyenoic 18:3i (g)",Water (g),0.0414410503451244
"Calcium, Ca (mg)","Fatty acids, total polyunsaturated 24:1 c (g)",0.041430412384263024
Galactose (g),"Fatty acids, total saturated 18:0 (g)",0.04141480627628304
Lutein + zeaxanthin (g),"Fatty acids, total polyunsaturated 24:0 (g)",0.041364873778140354
"Tocotrienol, alpha (mg)","Carotene, beta (g)",0.04135167969828836
Starch (g),"Fatty acids, total monounsaturated (g)",0.04133250522850261
"Folate, total (g)","Fatty acids, total polyunsaturated 18:1 t (g)",0.04127564830554039
"Sodium, Na (mg)","Folate, food (g)",0.04125643810498271
Tryptophan (g),"Carotene, alpha (g)",0.04124289726859591
"Iron, Fe (mg)","Fatty acids, total polyunsaturated 16:1 c (g)",0.04122673175790052
"Fatty acids, total saturated 14:0 (g)",Phytosterols (mg),0.041223892904196535
Caffeine (mg),Sucrose (g),0.04121294974832526
"Fatty acids, total saturated 18:2 undifferentiated (g)","Fatty acids, total saturated 8:0 (g)",0.041188282651898854
"Copper, Cu (mg)","Fatty acids, total polyunsaturated 18:2 n-6 c,c (g)",0.041186246502184165
Niacin (mg),Stigmasterol (mg),0.04117895625325533
"Fatty acids, total saturated 22:0 (g)","Fatty acids, total trans-polyenoic 15:1 (g)",0.04116802568482035
"Fatty acids, total polyunsaturated 18:2 CLAs (g)",Lycopene (g),0.04116726276244735
"Tocotrienol, gamma (mg)","Fatty acids, total saturated 18:3 undifferentiated (g)",0.04116471693536789
"Folate, total (g)","Fatty acids, total saturated 20:0 (g)",0.04114433077433102
Niacin (mg),"Fluoride, F (g)",0.04114033429746181
Retinol (g),"Fatty acids, total trans-polyenoic 20:3 n-3 (g)",0.04113005842582535
Lutein + zeaxanthin (g),"Fatty acids, total saturated 20:0 (g)",0.04112131994300893
Sucrose (g),"Selenium, Se (g)",0.04110394566263
"Vitamin A, RAE (g)","Fatty acids, total trans-monoenoic (g)",0.04109620221110104
"Folate, total (g)","Fatty acids, total trans-monoenoic (g)",0.04109221370897251
"Fatty acids, total monounsaturated (g)",Galactose (g),0.041074165119108046
"Fatty acids, total trans-polyenoic 13:0 (g)","Fatty acids, total trans-polyenoic 20:3 n-3 (g)",0.04106821735185437
Isoleucine (g),"Carotene, alpha (g)",0.0410247285495828
"Tocotrienol, alpha (mg)",Lutein + zeaxanthin (g),0.04102259520378319
"Fatty acids, total trans-polyenoic 13:0 (g)","Fatty acids, total polyunsaturated 20:2 n-6 c,c (g)",0.04100686782188855
Hydroxyproline (g),"Fatty acids, total polyunsaturated 18:2 n-6 c,c (g)",0.04099132468830218
"Tocotrienol, gamma (mg)",Hydroxyproline (g),0.04097311377145318
"Fatty acids, total polyunsaturated 18:1 t (g)","Folate, food (g)",0.04096154870818248
"Tocotrienol, delta (mg)","Fatty acids, total saturated 18:2 undifferentiated (g)",0.04096091251648988
"Fatty acids, total polyunsaturated 18:1 t (g)","Folate, DFE (g)",0.040942503626268605
Thiamin (mg),"Fatty acids, total saturated 22:5 n-3 (DPA) (g)",0.04087710461120578
"Fatty acids, total saturated 22:6 n-3 (DHA) (g)",Aspartic acid (g),0.04087116169730171
"Carotene, alpha (g)",Leucine (g),0.04083463129146835
"Vitamin B-12, added (g)","Fatty acids, total saturated 18:0 (g)",0.040811329577043594
"Tocopherol, delta (mg)","Tocotrienol, alpha (mg)",0.04080236837223198
Valine (g),Sucrose (g),0.04080200241819241
"Folate, food (g)","Fatty acids, total trans-monoenoic (g)",0.0407845500171853
Retinol (g),"Fatty acids, total polyunsaturated 16:1 c (g)",0.04076470466794106
"Fatty acids, total trans-monoenoic (g)","Folate, DFE (g)",0.040762415936591065
"Fatty acids, total trans-monoenoic (g)","Tocopherol, beta (mg)",0.040759790629122605
Folic acid (g),"Copper, Cu (mg)",0.04075103375725699
"Fatty acids, total saturated 22:6 n-3 (DHA) (g)",Serine (g),0.04069546835368687
"Fatty acids, total trans-polyenoic 20:4 n-6 (g)","Fatty acids, total saturated 20:0 (g)",0.04062634427019923
"Fatty acids, total polyunsaturated 16:1 c (g)","Vitamin A, RAE (g)",0.04059070469015459
Vitamin K (phylloquinone) (g),Beta-sitosterol (mg),0.04058732810020918
Niacin (mg),Lactose (g),0.04056953802614157
"Fatty acids, total saturated 16:1 undifferentiated (g)","Fatty acids, total trans-polyenoic 13:0 (g)",0.04054181655129006
"Fatty acids, total saturated 4:0 (g)","Fatty acids, total trans-polyenoic 18:3i (g)",0.04054001190292143
"Folate, total (g)","Fatty acids, total polyunsaturated 18:2 CLAs (g)",0.0405305068298419
Lutein + zeaxanthin (g),"Fatty acids, total polyunsaturated 22:1 c (g)",0.04052536519294778
"Fatty acids, total saturated 18:0 (g)",Sucrose (g),0.04051508974912937
"Folate, DFE (g)","Fluoride, F (g)",0.0405131329869333
"Fluoride, F (g)","Fatty acids, total saturated 18:1 undifferentiated (g)",0.04047981493075338
"Manganese, Mn (mg)","Carotene, alpha (g)",0.04046776460015711
"Tocopherol, beta (mg)","Fatty acids, total polyunsaturated 18:1 t (g)",0.040458001666369516
"Fatty acids, total monounsaturated (g)","Tocopherol, delta (mg)",0.040425052549603414
"Fatty acids, total saturated 12:0 (g)","Fatty acids, total saturated 18:2 undifferentiated (g)",0.04040833968823851
"Fluoride, F (g)","Fatty acids, total saturated 14:0 (g)",0.040402130100072486
"Vitamin A, IU (IU)","Fatty acids, total polyunsaturated 17:1 (g)",0.040395704113375196
Lactose (g),"Tocotrienol, alpha (mg)",0.040390618808874366
"Fatty acids, total saturated 16:0 (g)","Tocopherol, delta (mg)",0.0403632071260366
"Fatty acids, total polyunsaturated 18:2 t,t (g)","Fatty acids, total polyunsaturated 18:1 c (g)",0.0403572465469286
Ash (g),"Fluoride, F (g)",0.04029248706271234
"Folate, food (g)","Fatty acids, total polyunsaturated 18:2 CLAs (g)",0.04029203063581571
"Fluoride, F (g)","Fatty acids, total monounsaturated (g)",0.040284801697043605
"Copper, Cu (mg)","Fatty acids, total saturated 22:6 n-3 (DHA) (g)",0.040257988588099376
"Fatty acids, total saturated 20:0 (g)","Folate, food (g)",0.040252990856259614
"Folate, DFE (g)","Fatty acids, total saturated 20:0 (g)",0.04023629381405917
"Tocopherol, delta (mg)","Fatty acids, total trans-polyenoic 20:3 n-6 (g)",0.04022481418964516
Sucrose (g),Theobromine (mg),0.04018696323112838
"Carbohydrate, by difference (g)","Fatty acids, total polyunsaturated 20:2 n-6 c,c (g)",0.040155617586557196
Phytosterols (mg),"Fatty acids, total polyunsaturated 18:2 n-6 c,c (g)",0.040127213392674096
Campesterol (mg),Riboflavin (mg),0.04011502609484045
Glucose (dextrose) (g),Betaine (mg),0.040114205673031096
"Fatty acids, total trans-monoenoic (g)","Tocotrienol, gamma (mg)",0.04007596809365533
"Vitamin B-12, added (g)","Vitamin A, IU (IU)",0.04005192147128676
"Fatty acids, total saturated 22:6 n-3 (DHA) (g)",Threonine (g),0.0400491007664453
Leucine (g),"Fatty acids, total saturated 22:6 n-3 (DHA) (g)",0.04004269529418079
"Fatty acids, total saturated 20:4 undifferentiated (g)","Carbohydrate, by difference (g)",0.040028906608529924
Vitamin D (D2 + D3) (g),"Fatty acids, total trans-polyenoic 20:4 n-6 (g)",0.0400183302567329
Campesterol (mg),Threonine (g),0.04001399164608571
Betaine (mg),Lycopene (g),0.040012407741609364
"Tocotrienol, alpha (mg)",Ash (g),0.03995635886787152
Riboflavin (mg),"Tocopherol, delta (mg)",0.03994767428423391
Retinol (g),"Fatty acids, total polyunsaturated 24:0 (g)",0.03989644357389137
"Folate, DFE (g)","Fatty acids, total polyunsaturated 18:2 CLAs (g)",0.039887386396018895
Niacin (mg),"Fatty acids, total saturated 4:0 (g)",0.03984305717055934
"Carotene, alpha (g)",Alanine (g),0.0398423234787901
Stigmasterol (mg),Pantothenic acid (mg),0.03978306881778738
"Fatty acids, total saturated 14:0 (g)",Glucose (dextrose) (g),0.039782249117147395
Vitamin B-12 (g),"Manganese, Mn (mg)",0.039772113593580447
Retinol (g),"Carbohydrate, by difference (g)",0.039769835265275374
"Fatty acids, total saturated 22:6 n-3 (DHA) (g)",Alanine (g),0.039720033535277574
"Fatty acids, total trans-polyenoic 20:3 n-6 (g)","Tocopherol, beta (mg)",0.03971558783719539
Thiamin (mg),"Fatty acids, total polyunsaturated 16:1 c (g)",0.039651548591455955
